,Unnamed: 0,ID,Title,link,imgStatus,rating
0,0,0,Prego Mac & Cheese Pasta Sauce (290g),shopee.com.my/Prego-Mac-Cheese-Pasta-Sauce-(290g)-i.41985388.6613632999?sp_atk=ba1c87e4-ddfc-4d6f-a326-bf455c833708,Found,4.8
1,1,1,Kimball Spiral (400g),shopee.com.my/Kimball-Spiral-(400g)-i.41985388.2816383426?sp_atk=e6e44931-8a72-4f78-8520-32cda1889cdc,Found,4.9
2,2,2,Rasaku Coconut Milk Regular 200ml,shopee.com.my/Rasaku-Coconut-Milk-Regular-200ml-i.41985388.5450841415?sp_atk=72a11f6f-c0ea-47dc-92e8-8ae118fb8168,Found,5.0
3,3,3,King Cup Sardine in Tomato Sauce 155g,shopee.com.my/King-Cup-Sardine-in-Tomato-Sauce-155g-i.41985388.2772259853?sp_atk=8b1712c5-c6b4-437e-bf05-101df60b9348,Found,4.9
4,4,4,M&S Coconut Milk UHT 200ml Santan,shopee.com.my/M-S-Coconut-Milk-UHT-200ml-Santan-i.41985388.3316498370?sp_atk=40c79106-7094-4e83-8a89-51a65152b97a,Found,4.9
5,5,5,Erawan Rice Flour (500g),shopee.com.my/Erawan-Rice-Flour-(500g)-i.41985388.2121627469?sp_atk=e598a1fb-2063-4a08-9b82-2fc6ea978b8d,Found,4.9
6,6,6,Ideal Evaporated Full Cream Milk (390g),shopee.com.my/Ideal-Evaporated-Full-Cream-Milk-(390g)-i.41985388.4119654369?sp_atk=95d67cf4-515c-4cb3-817a-ddd4dc4372ff,Found,4.8
7,7,7,Jati Bihun Vermicelli (350g),shopee.com.my/Jati-Bihun-Vermicelli-(350g)-i.41985388.6380436237?sp_atk=e999caab-2dfb-4e80-816c-73f952667061,Found,5.0
8,8,8,Ayam Brand Baked Beans Light in Tomato Sauce 230g,shopee.com.my/Ayam-Brand-Baked-Beans-Light-in-Tomato-Sauce-230g-i.41985388.4742197619?sp_atk=e33b0430-f0d2-47c1-9800-04d9f3af2997,Found,5.0
9,9,9,[Not For Sale - GWP] Fernleaf UHT Chocolate (4 x 200ml) (While Stock Last),shopee.com.my/-Not-For-Sale-GWP-Fernleaf-UHT-Chocolate-(4-x-200ml)-(While-Stock-Last)-i.41985388.13136062592?sp_atk=19b601ae-7598-4dc8-83e9-e3d5b9a031b4,Found,5
10,10,10,Wise Cottage Fries Potato Chips Hot 'n' Spicy 65g,shopee.com.my/Wise-Cottage-Fries-Potato-Chips-Hot-'n'-Spicy-65g-i.41985388.3129584970?sp_atk=fa4e0862-d401-418f-b09d-c4292354a867,Found,4.9
11,11,11,F&N Cordial Flavor (2L) - 5 Variants,shopee.com.my/F-N-Cordial-Flavor-(2L)-5-Variants-i.41985388.7832705195?sp_atk=b004be54-e1a7-400c-9729-ac407ae60783,Found,4.8
12,12,12,Life Chilli Sauce (340g),shopee.com.my/Life-Chilli-Sauce-(340g)-i.41985388.3448134969?sp_atk=22bc9429-28f9-48af-a318-2d69deda2120,Found,5.0
13,13,13,Planta Margarine 1kg,shopee.com.my/Planta-Margarine-1kg-i.41985388.2314687756?sp_atk=855acd20-86ed-4974-a4b3-2ae8a99884fd,Found,4.8
14,14,14,Knorr Ikan Bilis Cubes (6s x 10g),shopee.com.my/Knorr-Ikan-Bilis-Cubes-(6s-x-10g)-i.41985388.2305393011?sp_atk=e343876f-60e0-4d37-a6ee-c85cd3f0c4b0,Found,5.0
